Layers,Units,Epochs,Batch Size,Activation,Optimizer,Loss,Predictions,MAPE
3,32,30,16,relu,adam,mse,"[86.1227, 85.35122, 84.71518, 83.79818, 83.73702, 83.68352, 83.640274, 83.63566]",0.4364703874987837
3,32,30,16,relu,adam,huber_loss,"[78.694405, 78.18808, 77.68542, 76.943535, 76.91694, 76.89114, 76.87046, 76.86919]",0.4827492201916213
3,32,30,16,relu,rmsprop,mse,"[74.46608, 74.17257, 73.85053, 73.396835, 73.387695, 73.378716, 73.372025, 73.37178]",0.5072507574333243
3,32,30,16,relu,rmsprop,huber_loss,"[71.786095, 71.753006, 71.70441, 71.635, 71.63483, 71.63462, 71.63447, 71.63447]",0.520208086378355
3,32,30,16,tanh,adam,mse,"[120.680504, 119.24465, 120.12525, 122.3564, 122.27229, 122.59757, 122.95171, 122.97676]",0.2011809356178424
3,32,30,16,tanh,adam,huber_loss,"[127.75363, 126.21106, 128.02788, 132.2544, 132.29852, 133.10674, 133.98174, 134.10893]",0.17017101292863301
3,32,30,16,tanh,rmsprop,mse,"[117.27015, 116.28453, 116.74937, 117.88881, 117.84274, 117.9601, 118.07862, 118.08395]",0.21902093190753807
3,32,30,16,tanh,rmsprop,huber_loss,"[114.51324, 113.66941, 113.91162, 114.5975, 114.55268, 114.60616, 114.66228, 114.66231]",0.23388830787400314
3,32,30,32,relu,adam,mse,"[77.28626, 76.74828, 76.20975, 75.42283, 75.394035, 75.3662, 75.344124, 75.34274]",0.4927967206977525
3,32,30,32,relu,adam,huber_loss,"[79.493034, 78.86323, 78.24777, 77.37041, 77.330444, 77.2929, 77.263695, 77.26142]",0.4795210558449307
3,32,30,32,relu,rmsprop,mse,"[80.86539, 80.636925, 80.4145, 80.09312, 80.08719, 80.081604, 80.07732, 80.07719]",0.46281351298959866
3,32,30,32,relu,rmsprop,huber_loss,"[85.79998, 85.58487, 85.38583, 85.105354, 85.099724, 85.09446, 85.090485, 85.09034]",0.4293713881735449
3,32,30,32,tanh,adam,mse,"[123.86581, 122.31187, 123.64038, 126.82671, 126.78499, 127.34445, 127.94857, 128.018]",0.18316050429238062
3,32,30,32,tanh,adam,huber_loss,"[125.48331, 124.02209, 125.50785, 128.94362, 128.94733, 129.55223, 130.19463, 130.27745]",0.1764530691483385
3,32,30,32,tanh,rmsprop,mse,"[112.70363, 111.765915, 111.90797, 112.46771, 112.40257, 112.44189, 112.48883, 112.48592]",0.247864174792668
3,32,30,32,tanh,rmsprop,huber_loss,"[113.30725, 112.46807, 112.669556, 113.24375, 113.19812, 113.24383, 113.28978, 113.28945]",0.24273325345592314
3,32,50,16,relu,adam,mse,"[97.779594, 96.95021, 96.54487, 96.03682, 95.96854, 95.92721, 95.89482, 95.88907]",0.3555647505189763
3,32,50,16,relu,adam,huber_loss,"[101.82099, 100.470566, 99.99766, 99.49918, 99.32545, 99.246155, 99.18461, 99.161385]",0.3326341630618872
3,32,50,16,relu,rmsprop,mse,"[83.50016, 83.12223, 82.78436, 82.30358, 82.288765, 82.27544, 82.2651, 82.26456]",0.44754736919122995
3,32,50,16,relu,rmsprop,huber_loss,"[101.72974, 101.11992, 100.89911, 100.688225, 100.65136, 100.63473, 100.62378, 100.62148]",0.325113305452859
3,32,50,16,tanh,adam,mse,"[113.51559, 112.27561, 112.512024, 113.342834, 113.232315, 113.31349, 113.40694, 113.40162]",0.24245166958353623
3,32,50,16,tanh,adam,huber_loss,"[114.58592, 113.0259, 113.40802, 114.61663, 114.45005, 114.60702, 114.78261, 114.77631]",0.23450234966828543
3,32,50,16,tanh,rmsprop,mse,"[118.67805, 117.45993, 118.14767, 119.77398, 119.71566, 119.93095, 120.147995, 120.16355]",0.21157217961507135
3,32,50,16,tanh,rmsprop,huber_loss,"[117.09403, 116.24607, 116.653, 117.6262, 117.59338, 117.68216, 117.769875, 117.77367]",0.21987929762779723
3,32,50,32,relu,adam,mse,"[94.98788, 94.06306, 93.52388, 92.81454, 92.72914, 92.66995, 92.62313, 92.615204]",0.3766736383428807
3,32,50,32,relu,adam,huber_loss,"[108.3088, 107.49897, 107.43889, 107.575935, 107.51912, 107.51948, 107.5268, 107.522964]",0.2797669233443963
3,32,50,32,relu,rmsprop,mse,"[100.807755, 100.282425, 100.07537, 99.86088, 99.83313, 99.81957, 99.81031, 99.8088]",0.33065987664727636
