Layers,Units,Epochs,Batch Size,Activation,Optimizer,Loss,Predictions,MAPE
3,32,30,16,relu,adam,mse,"[153.38364, 94.85156, 107.22859, 345.37817, 127.28975, 466.45508, 1325.2584, 861.8288]",2.54824810028049
3,32,30,16,relu,adam,huber_loss,"[133.44414, 130.3495, 140.46574, 177.33972, 200.70306, 301.3085, 557.38226, 1157.168]",1.8890314175440996
3,32,30,16,relu,adam,<__main__.QuantileLoss object at 0x7fc1158618e0>,"[77.406136, 77.54802, 85.17493, 88.13524, 89.00048, 88.97988, 88.61225, 88.43785]",0.42359070773721214
3,32,30,16,relu,adam,<__main__.QuantileLoss object at 0x7fc065822790>,"[196.48769, 195.0689, 255.43747, 399.26425, 495.11975, 867.2455, 1757.579, 3415.6675]",6.384556347825516
3,32,30,16,relu,rmsprop,mse,"[120.249565, 119.41633, 120.55297, 122.42446, 122.46892, 122.91692, 123.32264, 123.40288]",0.20061094257985213
3,32,30,16,relu,rmsprop,huber_loss,"[114.61447, 114.340904, 114.716995, 114.87064, 114.87022, 114.88539, 114.890495, 114.890816]",0.23157229606365815
3,32,30,16,relu,rmsprop,<__main__.QuantileLoss object at 0x7fc1158618e0>,"[77.22574, 77.22537, 77.22507, 77.22452, 77.22452, 77.22452, 77.22452, 77.22452]",0.4829992483872703
3,32,30,16,relu,rmsprop,<__main__.QuantileLoss object at 0x7fc065822790>,"[199.53233, 208.47827, 272.57462, 453.04178, 644.9381, 1248.0148, 3116.1016, 8627.27]",13.823751330509214
3,32,30,16,tanh,adam,mse,"[185.14803, 199.4067, 201.03412, 204.54587, 204.66718, 204.67873, 204.70209, 204.70285]",0.43991871608575217
3,32,30,16,tanh,adam,huber_loss,"[122.38843, 123.28176, 125.2518, 127.64803, 128.43689, 129.21107, 129.78499, 130.0922]",0.18033568692681423
3,32,30,16,tanh,adam,<__main__.QuantileLoss object at 0x7fc1158618e0>,"[75.393845, 77.40952, 79.344604, 81.277, 81.01213, 80.786354, 80.65808, 80.69071]",0.4651223972001858
3,32,30,16,tanh,adam,<__main__.QuantileLoss object at 0x7fc065822790>,"[179.23633, 176.9855, 181.38269, 187.14551, 187.08894, 187.28096, 187.47282, 187.47191]",0.35188114463397036
3,32,30,16,tanh,rmsprop,mse,"[121.36116, 118.33134, 120.83982, 123.66174, 123.337845, 124.280396, 124.96834, 125.03002]",0.19779732601969405
3,32,30,16,tanh,rmsprop,huber_loss,"[114.12499, 113.94425, 113.958084, 114.08633, 114.08473, 114.08571, 114.08715, 114.087135]",0.23638757224605725
3,32,30,16,tanh,rmsprop,<__main__.QuantileLoss object at 0x7fc1158618e0>,"[77.22453, 77.22432, 77.22392, 77.22335, 77.22335, 77.22335, 77.22335, 77.22335]",0.48300697614833876
3,32,30,16,tanh,rmsprop,<__main__.QuantileLoss object at 0x7fc065822790>,"[169.2896, 168.88747, 171.68097, 179.0701, 179.14427, 179.49942, 179.99426, 180.00812]",0.31855647242721585
3,32,30,32,relu,adam,mse,"[181.6547, 125.55032, 347.4896, 1033.2789, 2118.1116, 11468.087, 49102.625, 187919.45]",261.07485367351205
3,32,30,32,relu,adam,huber_loss,"[130.22002, 131.73566, 154.1163, 236.32872, 283.68652, 432.12903, 757.00555, 1146.8623]",2.306632044624651
3,32,30,32,relu,adam,<__main__.QuantileLoss object at 0x7fc1158618e0>,"[80.40514, 74.53039, 91.591774, 96.98227, 94.19059, 79.619934, 77.9581, 88.845436]",0.4261149472395508
3,32,30,32,relu,adam,<__main__.QuantileLoss object at 0x7fc065822790>,"[195.62697, 194.72026, 241.61026, 385.05408, 465.3398, 781.7296, 1532.134, 2822.0027]",5.409021760193054
3,32,30,32,relu,rmsprop,mse,"[125.02822, 121.05931, 126.112434, 136.62694, 137.66379, 145.27094, 154.81111, 161.34221]",0.2232872512417765
3,32,30,32,relu,rmsprop,huber_loss,"[114.68738, 114.529755, 114.60687, 114.69753, 114.69542, 114.698456, 114.70056, 114.70057]",0.23231678485940582
3,32,30,32,relu,rmsprop,<__main__.QuantileLoss object at 0x7fc1158618e0>,"[77.01518, 77.0144, 77.013214, 77.01166, 77.01165, 77.01165, 77.01165, 77.01165]",0.48442100555438383
3,32,30,32,relu,rmsprop,<__main__.QuantileLoss object at 0x7fc065822790>,"[189.2253, 187.71445, 239.98386, 364.9357, 454.09338, 731.96533, 1348.5377, 2771.8389]",5.111136680950857
3,32,30,32,tanh,adam,mse,"[121.20197, 120.47151, 121.031334, 125.564545, 125.97912, 126.34601, 127.48088, 127.72649]",0.19048926741169395
3,32,30,32,tanh,adam,huber_loss,"[145.71869, 144.89282, 176.12057, 185.07642, 186.42459, 187.82742, 188.05495, 188.09125]",0.3554443894745499
3,32,30,32,tanh,adam,<__main__.QuantileLoss object at 0x7fc1158618e0>,"[74.96482, 76.72299, 78.63073, 81.28347, 81.01519, 80.737885, 80.5234, 80.56243]",0.4666011753865751
3,32,30,32,tanh,adam,<__main__.QuantileLoss object at 0x7fc065822790>,"[177.76932, 176.50098, 179.46492, 183.23058, 183.2075, 183.2996, 183.39449, 183.39423]",0.3341588162680948
3,32,30,32,tanh,rmsprop,mse,"[123.27988, 121.994675, 121.72915, 128.86728, 128.7653, 129.82387, 132.21286, 132.46378]",0.18243492901950725
3,32,30,32,tanh,rmsprop,huber_loss,"[114.06175, 113.881584, 113.93909, 114.05541, 114.05373, 114.05534, 114.05691, 114.05691]",0.23662951797471554
3,32,30,32,tanh,rmsprop,<__main__.QuantileLoss object at 0x7fc1158618e0>,"[77.11422, 77.11568, 77.116905, 77.11851, 77.11851, 77.11851, 77.11851, 77.11851]",0.4837160776804611
3,32,30,32,tanh,rmsprop,<__main__.QuantileLoss object at 0x7fc065822790>,"[165.0031, 165.08154, 166.29567, 169.68755, 169.7217, 169.82402, 169.97502, 169.97844]",0.27399375985766483
3,32,50,16,relu,adam,mse,"[196.38403, -11.747752, 812.1346, 638.05365, 17532.607, 131696.86, 721676.25, 6333818.0]",7660.282804984135
3,32,50,16,relu,adam,huber_loss,"[197.51067, 164.53604, 386.03183, 1531.7747, 4053.798, 20799.027, 98128.27, 412348.25]",559.4850784274201
3,32,50,16,relu,adam,<__main__.QuantileLoss object at 0x7fc1158618e0>,"[112.3033, 80.75486, 87.49511, 92.8757, 92.74115, 82.40738, 78.58795, 85.89142]",0.41150173678717195
3,32,50,16,relu,adam,<__main__.QuantileLoss object at 0x7fc065822790>,"[196.43283, 245.52422, 401.00812, 891.68945, 1815.911, 5578.835, 19315.7, 59722.312]",89.4512692544101
3,32,50,16,relu,rmsprop,mse,"[129.54639, 122.09179, 129.5708, 157.41042, 163.44327, 220.64626, 383.32385, 755.81116]",1.1824540220199702
3,32,50,16,relu,rmsprop,huber_loss,"[128.54987, 123.30595, 129.8256, 145.87505, 147.99968, 162.03128, 183.05028, 203.06891]",0.32232523049773426
3,32,50,16,relu,rmsprop,<__main__.QuantileLoss object at 0x7fc1158618e0>,"[77.13155, 77.1312, 77.130806, 77.13021, 77.13021, 77.13021, 77.13021, 77.13021]",0.4836304074598508
3,32,50,16,relu,rmsprop,<__main__.QuantileLoss object at 0x7fc065822790>,"[190.1698, 190.83109, 226.47388, 349.85025, 432.95944, 738.7175, 1547.3939, 3430.978]",5.974055094557905
3,32,50,16,tanh,adam,mse,"[197.21211, 84.32285, 64.98075, 227.48521, 125.57142, 120.15504, 166.00203, 105.77905]",0.3009535104181157
3,32,50,16,tanh,adam,huber_loss,"[195.1067, 233.47827, -6.7523394, 57.787544, 161.48988, 67.79334, 96.05413, 131.16185]",0.4313740476587826
3,32,50,16,tanh,adam,<__main__.QuantileLoss object at 0x7fc1158618e0>,"[102.34105, 77.25851, 69.42838, 83.34588, 100.92811, 96.99684, 87.467705, 73.16923]",0.4224632215382922
3,32,50,16,tanh,adam,<__main__.QuantileLoss object at 0x7fc065822790>,"[196.05353, 188.14316, 207.18103, 229.65149, 229.27515, 230.56879, 231.51692, 231.5073]",0.545631122281562
3,32,50,16,tanh,rmsprop,mse,"[168.42242, 81.23886, 232.41208, 320.58682, 180.72751, 329.84424, 331.6104, 326.42465]",0.904386419917599
3,32,50,16,tanh,rmsprop,huber_loss,"[126.0027, 120.56481, 123.79926, 131.65196, 130.75548, 133.48282, 136.4762, 136.85869]",0.18119112301275797
3,32,50,16,tanh,rmsprop,<__main__.QuantileLoss object at 0x7fc1158618e0>,"[77.1929, 77.20022, 77.2098, 77.22604, 77.226036, 77.22603, 77.22602, 77.22602]",0.48303837583958453
3,32,50,16,tanh,rmsprop,<__main__.QuantileLoss object at 0x7fc065822790>,"[197.78107, 195.21843, 208.4922, 226.49762, 226.63594, 228.02888, 229.1839, 229.21202]",0.5374606709444676
3,32,50,32,relu,adam,mse,"[199.19612, 45.679848, 328.57648, 66.842896, 68.55349, 5581.81, 66.64388, 66.64388]",5.713060481842183
3,32,50,32,relu,adam,huber_loss,"[208.0607, 11.065664, 27.782457, 60.50971, 67.10127, 67.533745, 157.28862, 78.991875]",0.48587230082915717
3,32,50,32,relu,adam,<__main__.QuantileLoss object at 0x7fc1158618e0>,"[130.29402, 91.53058, 91.97882, 132.29158, 101.00169, 133.75365, 140.25095, 135.5483]",0.24271514147286657
3,32,50,32,relu,adam,<__main__.QuantileLoss object at 0x7fc065822790>,"[196.96509, 306.4594, 542.01855, 1348.816, 3704.1174, 12091.217, 42707.37, 141584.67]",207.68053431812024
3,32,50,32,relu,rmsprop,mse,"[146.84866, 115.14927, 156.13362, 340.85895, 397.29865, 1247.692, 5034.6143, 18483.168]",25.91610059481454
3,32,50,32,relu,rmsprop,huber_loss,"[119.70133, 117.765, 118.79657, 122.14643, 122.04344, 122.71433, 123.483215, 123.59559]",0.20413652316604583
3,32,50,32,relu,rmsprop,<__main__.QuantileLoss object at 0x7fc1158618e0>,"[77.11977, 77.12224, 77.12449, 77.127846, 77.127846, 77.127846, 77.127846, 77.127846]",0.4836588054637806
3,32,50,32,relu,rmsprop,<__main__.QuantileLoss object at 0x7fc065822790>,"[200.00075, 203.20929, 251.37692, 362.9593, 436.66016, 643.16626, 1050.9735, 1770.0038]",3.6688820917080207
3,32,50,32,tanh,adam,mse,"[196.63707, 197.12581, 128.14468, 189.06992, 136.81204, 119.93294, 140.12956, 152.95584]",0.21689619223240772
3,32,50,32,tanh,adam,huber_loss,"[196.57907, 189.48672, 43.46574, 73.61235, 72.64741, 65.64532, 75.66321, 77.95845]",0.4285408979543327
